Datum;Vorhaben;BSFZ_Aktenzeichen;Arbeitspaket;FuE_Taetigkeit;Persoenliche_Stunden;Ergebnis_oder_Erkenntnis;Nachweisreferenz;Erfassungsart;Status;Bestaetigt_am
2026-07-12;FUE-RUNTIME-01;;AP 5;Communication-Vertraege mit Dialer als zweitem Verbraucher auf Domaenenneutralitaet und Contract-Grenzen geprueft;3,0;Zweiter fachlicher Verbraucher nutzt die Vertragsschicht;b5a178f 4b8d21d;REKONSTRUIERT;ENTWURF;
2026-07-12;FUE-RUNTIME-01;;AP 3;Plugin-Lifecycle asynchrone Relays und Handler-Abmeldung anhand konkreter Fehlerbilder nachgearbeitet und getestet;3,0;Lifecycle- und Relay-Fehlerpfade gehaertet;e5d02bc bac667e;REKONSTRUIERT;ENTWURF;
2026-07-12;FUE-RUNTIME-01;;AP 4;Workspace-bezogene Pluginzustands- und Datenisolationspfade technisch geprueft Standard-Persistence-Anteil ausgeschlossen;2,0;Workspace-Isolationspfade und Architekturtests vorhanden;290b861 817ebc2;REKONSTRUIERT;ENTWURF;
2026-07-13;FUE-RUNTIME-01;;AP 1;Shared-Contract-Type-Identity ueber getrennte collectible Plugin-Load-Contexts implementiert und Konfliktfaelle getestet;4,0;Deklarierte Contracts werden im Default-Kontext vereinheitlicht;9e50524;REKONSTRUIERT;ENTWURF;
2026-07-13;FUE-RUNTIME-01;;AP 3;Fehlerzustaende Faulted und UnloadFailed sowie dynamische Routingbeitraege mit Laufzeitaktualisierung untersucht;3,0;Fehlerzustand bleibt sichtbar und Routingkatalog aktualisierbar;1e6ffdc 9a41e68;REKONSTRUIERT;ENTWURF;
2026-07-13;FUE-RUNTIME-01;;AP 4;Gewuenschte Workspace-Aktivierung von Entitlement und effektiver Verfuegbarkeit getrennt und Verhalten geprueft;2,0;Getrennte Zustandsdimensionen im Aktivierungspfad;16acac3;REKONSTRUIERT;ENTWURF;
2026-07-14;FUE-RUNTIME-01;;AP 2;Generische Service-Decoration als Prototypvariante implementiert Reihenfolge und Resolve-Verhalten getestet;3,0;Erste Decoration-Variante mit Verhaltenstests vorhanden;33f5a0d;REKONSTRUIERT;ENTWURF;
2026-07-14;FUE-RUNTIME-01;;AP 3;Dynamische Event- und Routingbeitraege einschliesslich Fehler- und Host-Overlay-Varianten untersucht;4,0;Fehlerhafte und kollidierende Plugin-Routen werden isoliert;3cc5957 7823fad;REKONSTRUIERT;ENTWURF;
2026-07-14;FUE-RUNTIME-01;;AP 3;Plugin-eigene Schema- und Lifecyclepfade mit Deinstallations- und Real-Postgres-Varianten geprueft reine Persistence-Arbeit ausgeschlossen;2,0;Schema-Cleanup und Manifestkonsistenz experimentell geprueft;233ecbc bc87498 f244b42;REKONSTRUIERT;ENTWURF;
2026-07-14;FUE-RUNTIME-01;;AP 0;Unload Availability und Lifecycle-Luecken technisch analysiert und weiteren Versuchsschnitt abgeleitet;3,0;Fehlende Unload-Verifikation und offene Runtime-Garantien dokumentiert;PHASE0_HAERTUNG_AUDIT_2026-07-14.md REV2;REKONSTRUIERT;ENTWURF;
2026-07-15;FUE-RUNTIME-01;;AP 3;Tatsaechliches ALC-Unloading ueber Weak-Reference- und Collection-Pruefung sowie sichtbare Lifecycle-Zustaende implementiert und getestet;3,0;Unload-Erfolg wird geprueft UnloadFailed bleibt sichtbar;0ab1959;REKONSTRUIERT;ENTWURF;
2026-07-15;FUE-RUNTIME-01;;AP 4;Effektive Plugin-Verfuegbarkeit aus Runtime Entitlement Workspace und Capability-Faktoren zentralisiert und getestet;2,0;Sieben Verfuegbarkeitsfaktoren konsistent ausgewertet;0ab1959;REKONSTRUIERT;ENTWURF;
2026-07-15;FUE-RUNTIME-01;;AP 1/AP 5;Communication-Abstractions und System-Plugin-Grenze als Shared-Type- und Domaenenneutralitaetsprobe umgesetzt und Integrationsfolgen geprueft;3,0;Communication ist Foundation-Plugin mit separater Public-API;e12bb76 a16274e 43bbddb;REKONSTRUIERT;ENTWURF;
